,Artist,Event_Name,url,Country,City,Date,Max_price,Min_price,Currency,Location
219,JP Saxe,John Mayer - Solo,https://www.ticketmaster.com/john-mayer-solo-newark-new-jersey-03-11-2023/event/02005E39C8435C57,United States Of America,Newark,2023-03-11,199.5,49.5,USD,"{'longitude': '-74.17121214', 'latitude': '40.73340555'}"
221,G-Eazy,G-Eazy,https://www.ticketmaster.com/event/Z7r9jZ1Adq_OU,United States Of America,Las Vegas,2023-07-14,Unknown,Unknown,Unknown,"{'longitude': '-115.145103', 'latitude': '36.124401'}"
222,Ashnikko,Ashnikko,https://www.ticketmaster.com.au/ashnikko-brisbane-04-04-2023/event/13005D77EF22B5FD,Australia,Brisbane,2023-04-04,67.88,67.88,AUD,"{'longitude': '153.034553', 'latitude': '-27.457971'}"
223,John Legend,John Legend,https://www.ticketmaster.co.uk/john-legend-london-05-04-2023/event/1F005CB4C45B6D88,Great Britain,London,2023-04-05,120.0,40.0,GBP,"{'longitude': '-0.177552', 'latitude': '51.501277'}"
224,Hippie Sabotage,Hippie Sabotage,https://www.ticketweb.com/event/hippie-sabotage-marathon-music-works-tickets/12837025?pl=marathonmusicworks,United States Of America,Nashville,2023-04-08,Unknown,Unknown,Unknown,"{'longitude': '-86.79752', 'latitude': '36.164025'}"
225,AC/DC,AC/DC UK,https://www.ticketweb.uk/event/acdc-uk-rescue-rooms-tickets/12590065?REFERRAL_ID=tmfeed,Great Britain,Nottingham,2023-03-31,Unknown,Unknown,Unknown,"{'longitude': '-1.152975', 'latitude': '52.956173'}"
227,Bring Me The Horizon,Bring Me The Horizon,https://www.ticketmaster.nl/event/bring-me-the-horizon-tickets/274839?language=en-us,Netherlands,Amsterdam,2023-02-24,43.68,32.48,EUR,"{'longitude': '4.93837', 'latitude': '52.31395'}"
230,SHAED,BeachLife Festival,https://on.fgtix.com/trk/wDIK,United States Of America,Redondo Beach,2023-05-05,Unknown,Unknown,Unknown,"{'longitude': '-118.39284', 'latitude': '33.843867'}"
233,SZA,SZA - SOS Tour,https://www.ticketmaster.com/sza-sos-tour-columbus-ohio-02-21-2023/event/05005D8B3E2277A0,United States Of America,Columbus,2023-02-21,169.5,54.5,USD,"{'longitude': '-83.0249081', 'latitude': '40.0080079'}"
235,BANNERS,BANNERS,https://www.ticketweb.uk/event/banners-oran-mor-tickets/12472535?REFERRAL_ID=tmfeed,Great Britain,Glasgow,2023-02-18,Unknown,Unknown,Unknown,"{'longitude': '-4.289157', 'latitude': '55.87738'}"
