,Artist,Event_Name,url,Country,City,Date,Max_price,Min_price,Currency,Location
49,Joji,Joji Presents Smithereens Oblivion,https://www.ticketmaster.com/joji-presents-smithereens-oblivion-new-york-new-york-05-06-2023/event/3B005D5917572AC8,United States Of America,New York,2023-05-06,230.5,60.5,USD,"{'longitude': '-73.9916006', 'latitude': '40.7497062'}"
50,Post Malone,RED HOT CHILI PEPPERS WITH POST MALONE,https://www.ticketmaster.com.au/red-hot-chili-peppers-with-post-burswood-12-02-2023/event/25005CD09AC84867,Australia,Burswood,2023-02-12,669.25,77.56,AUD,"{'longitude': '115.889132', 'latitude': '-31.951204'}"
51,Joel Corry,Joel Corry,https://www.ticketweb.com/event/joel-corry-ocean-casino-resort-tickets/12751545?REFERRAL_ID=tmfeed,United States Of America,Atlantic City,2023-02-25,Unknown,Unknown,Unknown,"{'longitude': '-74.413699', 'latitude': '39.362536'}"
52,Lil Baby,"MC Magic, Baby Bash, Lil Rob",https://www.ticketweb.com/event/mc-magic-baby-bash-lil-majestic-theatre-tickets/12920845,United States Of America,Detroit,2023-06-24,50.0,50.0,USD,"{'longitude': '-83.060335', 'latitude': '42.351852'}"
54,Bruce Springsteen,Bruce Springsteen,https://www.eticketing.co.uk/scottishrugby,Great Britain,Edinburgh,2023-05-30,Unknown,Unknown,Unknown,"{'longitude': '-3.24194169', 'latitude': '55.94078064'}"
56,DaBaby,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,2023-03-03,Unknown,Unknown,Unknown,"{'longitude': '-118.3368854', 'latitude': '33.95371247'}"
57,Leona Lewis,Leona Lewis,https://www.ticketmaster.co.uk/leona-lewis-nottingham-28-11-2023/event/1F005B819FCA2B06,Great Britain,Nottingham,2023-11-28,189.0,35.0,GBP,"{'longitude': '-1.151716', 'latitude': '52.955858'}"
59,The Beach Boys,The Beach Boys,https://www.ticketmaster.com/the-beach-boys-lincoln-california-03-18-2023/event/1C005D4EB9725F2A,United States Of America,Lincoln,2023-03-18,174.95,54.95,USD,"{'longitude': '-121.31368', 'latitude': '38.84026'}"
64,Frank Sinatra,Sunday Jazz Lunch with Frank Sinatra By Stephen Triffitt,https://www.ticketweb.uk/event/sunday-jazz-lunch-with-frank-boisdale-canary-wharf-tickets/12813365?REFERRAL_ID=tmfeed,Great Britain,London,2023-02-12,Unknown,Unknown,Unknown,"{'longitude': '-0.022271', 'latitude': '51.505252'}"
65,Mariah Carey,Lovers & Friends,https://on.fgtix.com/trk/yn8J,United States Of America,Las Vegas,2023-05-06,Unknown,Unknown,Unknown,"{'longitude': '-115.158757', 'latitude': '36.141833'}"
66,Bing Crosby,MANIA: The ABBA Tribute,https://www.ticketmaster.com/event/Z7r9jZ1Adob36,United States Of America,Spokane,2023-03-18,Unknown,Unknown,Unknown,"{'longitude': '-117.564003', 'latitude': '47.6231'}"
67,Tame Impala,"Tame Impala Invitado Especial: Cuco, General",https://www.ticketmaster.com.mx/tame-impala-invitado-especial-cuco-general-mexico-10-03-2023/event/14005D77BF6155FC,Mexico,México,2023-03-10,1120.0,1120.0,MXN,"{'longitude': '-99.0980606', 'latitude': '19.4015408'}"
68,Bad Bunny,Bad Bunny Night,https://www.ticketmaster.com/bad-bunny-night-reading-pennsylvania-03-24-2023/event/02005E39E0BB9BF5,United States Of America,Reading,2023-03-24,20.0,12.0,USD,"{'longitude': '-75.9196123', 'latitude': '40.3563327'}"
70,Pentatonix,Pentatonix,https://www.ticketmaster.com.au/pentatonix-mt-claremont-20-03-2023/event/13005D5901C554CF,Australia,Mt Claremont,2023-03-20,395.95,89.9,AUD,"{'longitude': '115.78459115', 'latitude': '-31.95242124'}"
71,Playboi Carti,Wireless - Friday Day Ticket,https://www.ticketmaster.co.uk/wireless-friday-day-ticket-london-07-07-2023/event/37005D5899414C8D,Great Britain,London,2023-07-07,118.8,82.0,GBP,"{'longitude': '-0.105881', 'latitude': '51.564635'}"
72,Tyga,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,2023-03-03,Unknown,Unknown,Unknown,"{'longitude': '-118.3368854', 'latitude': '33.95371247'}"
74,BLACKPINK,Coleccion BlackPink,https://shop.ticketmaster.com.mx/collections/blackpink,Mexico,México,2023-04-26,Unknown,Unknown,Unknown,"{'longitude': '-99.095618', 'latitude': '19.405199'}"
75,Dave,Lady A w/ Dave Barnes,https://www.ticketmaster.com/event/Z7r9jZ1Ado_e7,United States Of America,Charleston,2023-06-24,Unknown,Unknown,Unknown,"{'longitude': '-79.936401', 'latitude': '32.779499'}"
81,Imagine Dragons,Imagine Dragons,https://www.ticketmaster.com/imagine-dragons-milwaukee-wisconsin-07-08-2023/event/07005D689BED1C00,United States Of America,Milwaukee,2023-07-08,231.38,87.63,USD,"{'longitude': '-87.897661', 'latitude': '43.027552'}"
84,Bruno Mars,Bruno Mars,https://www.ticketmaster.com/bruno-mars-lincoln-california-02-18-2023/event/1C005D3E9222732F,United States Of America,Lincoln,2023-02-18,679.95,299.95,USD,"{'longitude': '-121.31368', 'latitude': '38.84026'}"
86,Katy Perry,Katy Perry,https://www.ticketmaster.com/event/Z7r9jZ1Ad_xP9,United States Of America,Las Vegas,2023-02-15,Unknown,Unknown,Unknown,"{'longitude': '-115.145103', 'latitude': '36.124401'}"
88,*NSYNC,Nsync,https://www.ticketmaster.com/nsync-birmingham-alabama-01-01-2039/event/1B003268BDCC47A6,United States Of America,Birmingham,2039-01-01,Unknown,Unknown,Unknown,"{'longitude': '-86.8422316', 'latitude': '33.5099383'}"
91,Don Toliver,Cactus Jack Presents: Special Guests,https://concerts.livenation.com/cactus-jack-presents-special-guests-salt-lake-city-utah-02-18-2023/event/1E005E3BCF184C99,United States Of America,Salt Lake City,2023-02-18,153.0,153.0,USD,"{'longitude': '-111.90302543', 'latitude': '40.76963375'}"
94,Calvin Harris,Longitude 2023 - Saturday Ticket - Calvin Harris & MK,https://www.ticketmaster.ie/longitude-2023-saturday-ticket-calvin-harris-dublin-01-07-2023/event/18005E3A815D20BC,Ireland,Dublin,2023-07-01,107.05,107.05,EUR,"{'longitude': '-6.26819372', 'latitude': '53.27812849'}"
96,Ed Sheeran,Ed Sheeran: +-=÷x Tour,https://www.ticketmaster.com/ed-sheeran-x-tour-east-rutherford-new-jersey-06-10-2023/event/00005D3DE5604AD8,United States Of America,East Rutherford,2023-06-10,165.0,55.0,USD,"{'longitude': '-74.074493', 'latitude': '40.81359'}"
98,John Mayer,John Mayer - Solo,https://www.ticketmaster.com/john-mayer-solo-newark-new-jersey-03-11-2023/event/02005E39C8435C57,United States Of America,Newark,2023-03-11,199.5,49.5,USD,"{'longitude': '-74.17121214', 'latitude': '40.73340555'}"
99,Eagles,Eagles,https://www.ticketmaster.com/eagles-phoenix-arizona-03-01-2023/event/19005D4EB2F93F05,United States Of America,Phoenix,2023-03-01,444.0,124.0,USD,"{'longitude': '-112.071313', 'latitude': '33.445899'}"
102,Luciano,Luciano,https://www.ticketmaster.nl/event/luciano-tickets/289271?language=en-us,Netherlands,Amsterdam,2023-03-14,22.0,22.0,EUR,"{'longitude': '4.88127', 'latitude': '52.36483'}"
103,Machine Gun Kelly,Houston Rodeo w/ Machine Gun Kelly,https://www.ticketmaster.com/event/Z7r9jZ1Ado6jU,United States Of America,Houston,2023-03-14,Unknown,Unknown,Unknown,"{'longitude': '-95.400101', 'latitude': '29.6835'}"
104,Anne-Marie,Anne-Marie - Forest Live,https://www.ticketmaster.co.uk/annemarie-forest-live-thetford-16-06-2023/event/37005D7DF68761EE,Great Britain,Thetford,2023-06-16,47.5,47.5,GBP,"{'longitude': '0.663071', 'latitude': '52.434407'}"
105,Future,Future,https://www.ticketmaster.com/event/Z7r9jZ1AdqYA6,United States Of America,Philadelphia,2023-03-24,Unknown,Unknown,Unknown,"{'longitude': '-75.153397', 'latitude': '39.910999'}"
111,Travis Scott,Longitude 2023 - Sunday Ticket - Travis Scott & Lil Uzi Vert,https://www.ticketmaster.ie/longitude-2023-sunday-ticket-travis-scott-dublin-02-07-2023/event/18005E3A816020E4,Ireland,Dublin,2023-07-02,107.05,107.05,EUR,"{'longitude': '-6.26819372', 'latitude': '53.27812849'}"
112,Vance Joy,Vance Joy,https://www.ticketmaster.co.uk/vance-joy-london-29-04-2023/event/36005CACF8A24AF0,Great Britain,London,2023-04-29,32.5,27.5,GBP,"{'longitude': '-0.224458', 'latitude': '51.490702'}"
113,Lizzo,LIZZO,https://www.eticketing.co.uk/asmglobalmanchester,Great Britain,Manchester,2023-03-11,Unknown,Unknown,Unknown,"{'longitude': '-2.244066', 'latitude': '53.488164'}"
114,Nirvana,Nirvana UK,https://www.ticketmaster.co.uk/nirvana-uk-oxford-18-03-2023/event/1F005CB8EB636E5B,Great Britain,Oxford,2023-03-18,16.9,16.9,GBP,"{'longitude': '-1.2351166', 'latitude': '51.7470676'}"
116,DJ Snake,DJ Snake,https://www.ticketmaster.com/event/Z7r9jZ1Adq_Oy,United States Of America,Las Vegas,2023-03-10,Unknown,Unknown,Unknown,"{'longitude': '-115.145103', 'latitude': '36.124401'}"
117,Lauv,Governors Ball Music Festival,https://on.fgtix.com/trk/ggaL,United States Of America,Queens,2023-06-09,Unknown,Unknown,Unknown,"{'longitude': '-73.82583', 'latitude': '40.71634'}"
118,Elvis Presley,Manc Elvis - an Elvis Presley Live Show,https://www.ticketweb.uk/event/manc-elvis-an-gullivers-tickets/12926485?REFERRAL_ID=tmfeed,Great Britain,Manchester,2023-05-28,Unknown,Unknown,Unknown,"{'longitude': '-2.234621', 'latitude': '53.483626'}"
120,Trippie Redd,Trippie Redd,https://www.ticketmaster.com/trippie-redd-tempe-arizona-03-02-2023/event/19005D959E681F4B,United States Of America,Tempe,2023-03-02,99.0,39.0,USD,"{'longitude': '-111.92926329', 'latitude': '33.42535353'}"
122,Tory Lanez,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,2023-03-03,Unknown,Unknown,Unknown,"{'longitude': '-118.3368854', 'latitude': '33.95371247'}"
123,Kane Brown,Bud Light Super Bowl Music Fest - Imagine Dragons and Kane Brown,https://www.ticketmaster.com/bud-light-super-bowl-music-fest-phoenix-arizona-02-11-2023/event/19005D73C4743F11,United States Of America,Phoenix,2023-02-11,1000.0,40.0,USD,"{'longitude': '-112.071313', 'latitude': '33.445899'}"
124,A Boogie Wit da Hoodie,A Boogie Wit Da Hoodie,https://www.ticketmaster.com/a-boogie-wit-da-hoodie-philadelphia-pennsylvania-03-03-2023/event/02005E46D321B6A6,United States Of America,Philadelphia,2023-03-03,30.0,30.0,USD,"{'longitude': '-75.159035', 'latitude': '39.957705'}"
125,Tom Odell,Tom Odell,https://www.ticketmaster.com.mx/tom-odell-zapopan-28-05-2023/event/14005D7CA90C3C75,Mexico,Zapopan,2023-05-28,700.0,590.0,MXN,"{'longitude': '-103.3784284', 'latitude': '20.73664846'}"
126,Hozier,Shaky Knees Music Festival,https://on.fgtix.com/trk/AuGK,United States Of America,Atlanta,2023-05-05,Unknown,Unknown,Unknown,"{'longitude': '-84.376217', 'latitude': '33.76875'}"
127,NF,UEFA Euro 2024 Qualifier - Northern Ireland V Finland,https://www.ticketmaster.ie/uefa-euro-2024-qualifier-northern-ireland-belfast-26-03-2023/event/38005D827CBC1624,Great Britain,Belfast,2023-03-26,59.0,48.5,GBP,"{'longitude': '-5.951227', 'latitude': '54.587364'}"
130,Tom Grennan,Tom Grennan,https://www.ticketmaster.co.uk/tom-grennan-birmingham-10-03-2023/event/37005D3C98D04FDC,Great Britain,Birmingham,2023-03-10,40.7,29.7,GBP,"{'longitude': '-1.914924', 'latitude': '52.479932'}"
132,Cardi B,"Cardi B, Offset, DJ Shift & Paul Oakenfold",https://www.ticketmaster.com/cardi-b-offset-dj-shift-paul-chandler-arizona-02-11-2023/event/19005E38F9504494,United States Of America,Chandler ,2023-02-11,400.0,200.0,USD,"{'longitude': '-111.973712', 'latitude': '33.281669'}"
134,5 Seconds of Summer,Fangirl Fantasy: One Direction vs 5 Seconds of Summer (18+),https://www.ticketmaster.com/fangirl-fantasy-one-direction-vs-5-charleston-south-carolina-03-24-2023/event/2D005D35952437D6,United States Of America,Charleston,2023-03-24,18.0,18.0,USD,"{'longitude': '-79.938335', 'latitude': '32.790188'}"
135,Khalid,Ed Sheeran w/ Khalid,https://www.ticketmaster.com/event/Z7r9jZ1AdbIqy,United States Of America,Arlington,2023-05-06,Unknown,Unknown,Unknown,"{'longitude': '-97.082397', 'latitude': '32.7542'}"
140,A$AP Ferg,FVDED In the Park,https://fvdedinthepark.frontgatetickets.com/?utm_source=ticketmaster&utm_medium=websiteshell&utm_content=fvded&utm_campaign=fgt-partner,Canada,Surrey,2023-06-23,Unknown,Unknown,Unknown,"{'longitude': '-122.848629', 'latitude': '49.183889'}"
141,Queen,Shania Twain: Queen Of Me Tour,https://www.ticketmaster.com/shania-twain-queen-of-me-tour-nashville-tennessee-06-07-2023/event/1B005D548B3223CD,United States Of America,Nashville,2023-06-07,246.95,61.95,USD,"{'longitude': '86.760978', 'latitude': '36.134157'}"
144,Niall Horan,Pinkpop 2023 (Friday),https://www.ticketmaster.nl/event/pinkpop-2023-friday--tickets/287093?language=en-us,Netherlands,Landgraaf,2023-06-16,125.0,125.0,EUR,"{'longitude': '6.02', 'latitude': '50.88219'}"
145,MEDUZA,Meduza,https://www.ticketweb.com/event/meduza-ocean-casino-resort-tickets/12667195?REFERRAL_ID=tmfeed,United States Of America,Atlantic City,2023-02-11,Unknown,Unknown,Unknown,"{'longitude': '-74.413699', 'latitude': '39.362536'}"
147,Kylie Minogue,Live And Proud: Sydney WorldPride Opening Concert,https://www.ticketmaster.com.au/live-and-proud-sydney-worldpride-opening-sydney-24-02-2023/event/13005CD68BFD2894,Australia,Sydney,2023-02-24,283.49,48.08,AUD,"{'longitude': '151.213698', 'latitude': '-33.867108'}"
148,Coldplay,COLDPLAY,https://www.eticketing.co.uk/principalitystadium,Great Britain,Cardiff,2023-06-06,Unknown,Unknown,Unknown,"{'longitude': '-3.18305', 'latitude': '51.477945'}"
150,Michael Jackson,Michael Jackson Starring Ben,https://www.ticketweb.uk/event/michael-jackson-starring-ben-boisdale-canary-wharf-tickets/12834805?REFERRAL_ID=tmfeed,Great Britain,London,2023-03-04,Unknown,Unknown,Unknown,"{'longitude': '-0.022271', 'latitude': '51.505252'}"
153,AURORA,Aurora,https://www.ticketmaster.com.mx/aurora-guadalajara-12-04-2023/event/3D005E37A3063AC9,Mexico,Guadalajara,2023-04-12,1400.0,560.0,MXN,"{'longitude': '-103.349341', 'latitude': '20.665434'}"
154,Rauw Alejandro,Rauw Alejandro,https://www.ticketmaster.com/event/Z7r9jZ1Adqd8S,United States Of America,Duluth,2023-03-06,Unknown,Unknown,Unknown,"{'longitude': '-84.169502', 'latitude': '34.037998'}"
155,Lil Wayne,Lil Wayne,https://concerts.livenation.com/lil-wayne-minneapolis-minnesota-04-04-2023/event/06005E3AE0DD7131,United States Of America,Minneapolis,2023-04-04,139.5,139.5,USD,"{'longitude': '-92.278565', 'latitude': '44.44631'}"
156,Capital Bra,Capital Bra,https://www.ticketmaster.ch/event/capital-bra-tickets/9537?language=en-us,Switzerland,Zürich,2023-05-19,Unknown,Unknown,Unknown,"{'longitude': '8.55166', 'latitude': '47.41161'}"
157,Lil Tecca,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,2023-03-03,Unknown,Unknown,Unknown,"{'longitude': '-118.3368854', 'latitude': '33.95371247'}"
158,H.E.R.,Flouris(HER),https://www.ticketmaster.co.uk/flourisher-london-08-03-2023/event/1F005E39E3E84490,Great Britain,London,2023-03-08,11.5,11.5,GBP,"{'longitude': '-0.10661535', 'latitude': '51.53445948'}"
159,Madame,Madame Fraize,https://www.ticketmaster.be/event/madame-fraize-tickets/51901,Belgium,Woluwé-Saint-Pierre,2023-02-16,24.7,21.7,EUR,"{'longitude': '4.42711', 'latitude': '50.83683'}"
160,Sabrina Carpenter,Sabrina Carpenter,https://www.ticketmaster.com/sabrina-carpenter-hollywood-florida-03-16-2023/event/0D005D89FA62E6CE,United States Of America,Hollywood,2023-03-16,80.0,50.0,USD,"{'longitude': '-80.2109577', 'latitude': '26.0503384'}"
161,Beyoncé,BEYONCÉ - RENAISSANCE WORLD TOUR,https://www.ticketmaster.co.uk/beyonce-renaissance-world-tour-cardiff-17-05-2023/event/35005E37F4486B5D,Great Britain,Cardiff,2023-05-17,2391.5,0.0,GBP,"{'longitude': '-3.18305', 'latitude': '51.477945'}"
163,Bas,Bassekou Kouyate & Ngoni Ba,https://www.ticketmaster.com/bassekou-kouyate-ngoni-ba-somerville-massachusetts-04-16-2023/event/01005E3AA8CB4419,United States Of America,Somerville,2023-04-16,39.0,39.0,USD,"{'longitude': '-71.123041', 'latitude': '42.396646'}"
164,Morgan Wallen,Morgan Wallen,https://www.ticketmaster.com/event/Z7r9jZ1Adjx-o,United States Of America,University,2023-04-23,Unknown,Unknown,Unknown,"{'longitude': '-89.5513', 'latitude': '34.3666'}"
166,Myke Towers,Sueños Festival,https://on.fgtix.com/trk/e8lL,United States Of America,Chicago,2023-05-27,Unknown,Unknown,Unknown,"{'longitude': '-87.6172992', 'latitude': '41.8732307'}"
168,Darlene Love,Darlene Love,https://www.ticketmaster.com/event/Z7r9jZ1Ad_S4z,United States Of America,Vienna,2023-02-14,Unknown,Unknown,Unknown,"{'longitude': '-77.294899', 'latitude': '38.9062'}"
169,The Killers,The Killers,https://www.ticketmaster.com/the-killers-pittsburgh-pennsylvania-03-19-2023/event/16005AF17DEF2052,United States Of America,Pittsburgh,2023-03-19,112.25,27.5,USD,"{'longitude': '-79.962273', 'latitude': '40.443061'}"
